 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,LIFESOURCE,LIFESOURCE COMM,Commercial,305340,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELETRIPTAN 20 MG TABS 6 EACH BOX,,,637,RC,RXRx00049233045,CDM,0049-2330-45,NDC,BOTH,20,ME,445.84,178.336,CIGNA,CIGNA COMMERCIAL,,258.59,58,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELISA HIV-1/HIV-2 SCREEN,G0433,HCPCS,300,RC,3000826,CDM,,,OUTPATIENT,,,46,18.4,CIGNA,CIGNA COMMERCIAL,,26.68,58,PERCENT OF BILLED CHARGES,,,,0,17.41,46,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELOTUZUMAB 400 MG SOLR 1 EACH VIAL,J9176,HCPCS,636,RC,RXRx00003452211,CDM,0003-4522-11,NDC,BOTH,400,ME,15910.06,6364.024,MOLINA-CHIP,MOLINA CHILDRENS HEALTH INSURANCE PLAN,,16.98,,FEE SCHEDULE,,,,0,5.68,14319.05,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELVITEG-COBIC-EMTRICIT-TENOF AF 150-150-200-10 MG TABS 30 EACH BOTTLE,,,637,RC,RXRx61958190101,CDM,61958-1901-1,NDC,BOTH,10,ME,813.78,325.512,MPCN,MS PHYSICIAN CARE NETWORK,,406.89,50,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EMAPALUMAB-LZSG 50 MG/10ML SOLN 10 ML VIAL,J9210,HCPCS,636,RC,RXRx66658050501,CDM,66658-505-01,NDC,BOTH,10,ML,93517.2,37406.88,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,36471.71,39,PERCENT OF BILLED CHARGES,,,,0,303.93,84165.48,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF CHARGES BASED ON THE REVENUE CODE ABOVE OR BELOW A DOLLAR THRESHOLD,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EMAPALUMAB-LZSG 50 MG/10ML SOLN 10 ML VIAL,J9210,HCPCS,636,RC,RXRx66658050501,CDM,66658-505-01,NDC,BOTH,10,ML,93517.2,37406.88,MPCN,MS PHYSICIAN CARE NETWORK,,885.16,,APC,,,,0,303.93,84165.48,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EMTRICITAB-RILPIVIR-TENOFOV AF 200-25-25 MG TABS 30 EACH BOTTLE,,,637,RC,RXRx61958210101,CDM,61958-2101-1,NDC,BOTH,25,ME,740.6,296.24,ADVHEALTH,STATE OF MS BLUE CROSS,,555.45,75,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EMTRICITABINE 200 MG CAPS 30 EACH BOTTLE,,,637,RC,RXRx35356020530,CDM,35356-205-30,NDC,BOTH,200,ME,136.43,54.572,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,95.5,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EMTRICITABINE-TENOFOVIR AF 200-25 MG TABS 30 EACH BOX,J0751,HCPCS,637,RC,RXRx61958200202,CDM,61958-2002-2,NDC,BOTH,25,ME,405.22,162.088,MS-CAN-MOLINA,MSCAN MOLINA,,73.43,,FEE SCHEDULE,,,,0,66.07,364.7,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EMTRICITABINE-TENOFOVIR DF 200-300 MG TABS 1 EACH,J0750,HCPCS,637,RC,RXRx60687071995,CDM,60687-719-95,NDC,BOTH,300,ME,11.68,4.672,MULTIPLAN,MULTIPLAN,,9.34,80,PERCENT OF BILLED CHARGES,,,,0,0.45,331.61,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENALAPRIL 2.5 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx68682071001,CDM,68682-710-01,NDC,BOTH,2.5,ME,3,1.2,ADVHEALTH,STATE OF MS BLUE CROSS,,2.25,75,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENALAPRIL 2.5 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx68682071001,CDM,68682-710-01,NDC,BOTH,2.5,ME,3,1.2,PHCS,PHCS NETWORK,,2.7,90,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENALAPRIL 20 MG TABS 100 EACH BOX,,,637,RC,RXRx00904561161,CDM,0904-5611-61,NDC,BOTH,20,ME,11.48,4.592,MPCN,MS PHYSICIAN CARE NETWORK,,5.74,50,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENALAPRIL 5 MG TABS 100 EACH BOX,,,637,RC,RXRx00904550261,CDM,0904-5502-61,NDC,BOTH,5,ME,7.72,3.088,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,6.18,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENALAPRILAT 1.25 MG/ML SOLN 2 ML VIAL,,,250,RC,RXRx00143978610,CDM,0143-9786-10,NDC,BOTH,2,ML,56.89,22.756,MULTIPLAN,MULTIPLAN,,45.51,80,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENALAPRILAT 1.25 MG/ML SOLN 2 ML VIAL,,,250,RC,RXRx00143978610,CDM,0143-9786-10,NDC,BOTH,2,ML,56.89,22.756,PHCS,PHCS NETWORK,,51.2,90,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENALAPRILAT 1.25 MG/ML SOLN 2 ML VIAL,,,250,RC,RXRx43598016911,CDM,43598-169-11,NDC,BOTH,2,ML,56.89,22.756,FIRSTHEALTH,FIRST HEALTH NETWORK,,45.51,80,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENDO SINGLE URINARY TRACT,C1747,HCPCS,278,RC,2780313,CDM,,,OUTPATIENT,,,100,40,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,70,70,PERCENT OF BILLED CHARGES,,,,0,22.68,90,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENDOSCOPE SINGLE-USE,C1748,HCPCS,272,RC,2720092,CDM,,,OUTPATIENT,,,1442,576.8,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,1009.4,70,PERCENT OF BILLED CHARGES,,,,0,576.8,1297.8,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENDOSCOPY SWALLOW (FEES) VID,92612,HCPCS,444,RC,4440018,CDM,,,OUTPATIENT,,,434,173.6,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,338.52,78,PERCENT OF BILLED CHARGES,,,,0,56.09,390.6,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENDOVASCULAR EA ADD 30 MIN,,,360,RC,3600325,CDM,,,OUTPATIENT,,,3568,1427.2,AETNA,AETNA,,3032.8,85,PERCENT OF BILLED CHARGES,,,,0,15.2,29700,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENDOVASCULAR INITIAL 30 MIN,,,360,RC,3600324,CDM,,,OUTPATIENT,,,10596,4238.4,CIGNA,CIGNA COMMERCIAL,,6145.68,58,PERCENT OF BILLED CHARGES,,,,0,15.2,29700,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENDOVASCULAR VENOUS ARTERIALIZATION TIBL/PRNL VN,0620T,HCPCS,360,RC,3600626,CDM,,,OUTPATIENT,,,68751,27500.4,ADVHEALTH,STATE OF MS BLUE CROSS,,4950,75,PERCENT OF BILLED CHARGES,,,,0,4950,99419.6,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENERGY STORING FOOT,L5976,HCPCS,274,RC,2740219,CDM,,,OUTPATIENT,,,1300,520,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,1714.03,,APC,,,,0,520.87,1714.03,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENFORTUMAB VEDOTIN-EJFV 20 MG SOLR 1 EACH VIAL,J9177,HCPCS,636,RC,RXRx51144002001,CDM,51144-020-01,NDC,BOTH,20,ME,14157.36,5662.944,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,5521.37,39,PERCENT OF BILLED CHARGES,21236.04,7772.39,51815.94,106,25.32,19112.44,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF CHARGES BASED ON THE REVENUE CODE ABOVE OR BELOW A DOLLAR THRESHOLD,
ENFORTUMAB VEDOTIN-EJFV 20 MG SOLR 1 EACH VIAL,J9177,HCPCS,636,RC,RXRx51144002001,CDM,51144-020-01,NDC,BOTH,20,ME,14157.36,5662.944,MPCN,MS PHYSICIAN CARE NETWORK,,84.5,,APC,,,,0,25.32,19112.44,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENOXAPARIN 300 MG/3ML SOLN 3 ML VIAL,J1650,HCPCS,636,RC,RXRx63323053903,CDM,63323-539-03,NDC,BOTH,3,ML,388.7,155.48,BCBSMISS,BLUE CROSS OF MS,,291.53,75,PERCENT OF BILLED CHARGES,35,35,35,12,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,
ENOXAPARIN 300 MG/3ML SOLN 3 ML VIAL,J1650,HCPCS,636,RC,RXRx63323053903,CDM,63323-539-03,NDC,BOTH,3,ML,388.7,155.48,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,155.48,40,PERCENT OF BILLED CHARGES,35,35,70,199,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,
ENOXAPARIN SODIUM 100 MG/ML SOSY 1 ML SYRINGE,J1650,HCPCS,636,RC,RXRx00548560500,CDM,0548-5605-00,NDC,BOTH,1,ML,90,36,ADVHEALTH,STATE OF MS BLUE CROSS,,67.5,75,PERCENT OF BILLED CHARGES,35,17.15,35,1 THROUGH 10,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,
ENOXAPARIN SODIUM 100 MG/ML SOSY 1 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323058621,CDM,63323-586-21,NDC,BOTH,1,ML,55.9,22.36,PHCS,PHCS NETWORK,,50.31,90,PERCENT OF BILLED CHARGES,,,,0,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENOXAPARIN SODIUM 100 MG/ML SOSY 1 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323058696,CDM,63323-586-96,NDC,BOTH,1,ML,55.92,22.368,AETNA,AETNA,,47.53,85,PERCENT OF BILLED CHARGES,5.25,5.25,10.5,15,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,
ENOXAPARIN SODIUM 100 MG/ML SOSY 1 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323060584,CDM,63323-605-84,NDC,BOTH,1,ML,119.28,47.712,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,47.71,40,PERCENT OF BILLED CHARGES,35,35,70,199,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,
ENOXAPARIN SODIUM 100 MG/ML SOSY 1 ML SYRINGE,J1650,HCPCS,636,RC,RXRx71839011310,CDM,71839-113-10,NDC,BOTH,1,ML,139.71,55.884,MULTIPLAN,MULTIPLAN,,111.77,80,PERCENT OF BILLED CHARGES,,,,0,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENOXAPARIN SODIUM 150 MG/ML SOSY 1 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323053784,CDM,63323-537-84,NDC,BOTH,1,ML,178.86,71.544,MPCN,MS PHYSICIAN CARE NETWORK,,89.43,50,PERCENT OF BILLED CHARGES,,,,0,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENOXAPARIN SODIUM 30 MG/0.3ML SOSY 0.3 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323055921,CDM,63323-559-21,NDC,BOTH,0.3,ML,35,14,ADVHEALTH,STATE OF MS BLUE CROSS,,26.25,75,PERCENT OF BILLED CHARGES,35,17.15,35,1 THROUGH 10,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,
ENOXAPARIN SODIUM 30 MG/0.3ML SOSY 0.3 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323055921,CDM,63323-559-21,NDC,BOTH,0.3,ML,35,14,FIRSTHEALTH,FIRST HEALTH NETWORK,,28,80,PERCENT OF BILLED CHARGES,,,,0,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENOXAPARIN SODIUM 40 MG/0.4ML SOSY 0.4 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323053501,CDM,63323-535-01,NDC,BOTH,0.4,ML,47.64,19.056,CIGNA,CIGNA COMMERCIAL,,0.77,,FEE SCHEDULE,52.5,38.5,66.5,1 THROUGH 10,0.77,349.83,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
ENOXAPARIN SODIUM 40 MG/0.4ML SOSY 0.4 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323053501,CDM,63323-535-01,NDC,BOTH,0.4,ML,47.64,19.056,MULTIPLAN,MULTIPLAN,,38.11,80,PERCENT OF BILLED CHARGES,,,,0,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENOXAPARIN SODIUM 40 MG/0.4ML SOSY 0.4 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323056421,CDM,63323-564-21,NDC,BOTH,0.4,ML,35,14,FIRSTHEALTH,FIRST HEALTH NETWORK,,28,80,PERCENT OF BILLED CHARGES,,,,0,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ENOXAPARIN SODIUM 40 MG/0.4ML SOSY 0.4 ML SYRINGE,J1650,HCPCS,636,RC,RXRx63323056497,CDM,63323-564-97,NDC,BOTH,0.4,ML,35,14,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,29.75,85,PERCENT OF BILLED CHARGES,,,,0,0.77,349.83,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
